segment_code,segment_label,segment_type,definition,example_companies,assignment_rule,allowed_dashboard_value
WOMENS_FAMILY_HEALTH,"Women’s, reproductive & family health",Clinical/population health category,"Women’s health, fertility, maternity, menopause, hormonal health, pediatrics, and family-building/family-benefits care.",Maven Clinic; Midi Health; Pomelo Care; Allara; Oula; Tia,"Use when the core market is women’s/reproductive/family care even if product model is virtual care, benefits, or marketplace.",TRUE
METABOLIC_NUTRITION_HEALTH,"Metabolic, nutrition & weight health",Clinical condition/category,"Obesity, GLP-1/weight management, diabetes, cardiometabolic care, metabolic behavior change, CGM-led metabolic coaching, nutrition care, and food-as-medicine.",Noom Med; ZOE; Levels; Foodsmart; Fay; Omada; 9amHealth,"Use for nutrition, obesity, diabetes, and metabolic behavior companies. Distinctions move to subsegment tags.",TRUE
MENTAL_BEHAVIORAL_HEALTH,Mental & behavioral health,Clinical condition/category,"Therapy, psychiatry, behavioral health access, substance-use treatment, eating-disorder care, and related care models.",Rula; Headway; Grow Therapy; Equip; Affect; Boulder Care,Use for mental/behavioral health even when the model is marketplace or provider network.,TRUE
SPECIALTY_CONDITION_CARE,Specialty condition care,Clinical condition/category,"Specialty-condition care that is not women/family, metabolic/nutrition, or mental/behavioral: GI, MSK, oncology, kidney, cardiovascular, dermatology, neurology, autoimmune, respiratory, etc.",Oshi Health; Cylinder Health; Sword Health; Hinge Health; Thyme Care; Strive Health,Use for condition-specific specialty care. Nuance goes into condition subsegment tags.,TRUE
PRIMARY_LONGITUDINAL_CARE,"Primary, urgent & longitudinal care",Clinical care category,"Primary care, urgent care, longitudinal virtual/hybrid care, full-stack digital clinic, or broad front-door care that is not primarily a specialty category.",K Health; Carbon Health; Galileo; Firefly Health; One Medical,"Use when the core proposition is the care front door or longitudinal primary care, not a narrow condition.",TRUE
SENIOR_HOME_CARE,"Senior, home & caregiver health",Population/site-of-care category,"Senior care, aging-in-place, caregiver support, home care, home health, hospital-at-home, PACE enablement, and eldercare-focused platforms.",Cera; Honor; Papa; IntusCare; Medically Home,Use when the core market is seniors/caregivers/home-based care.,TRUE
CONSUMER_HEALTH_OPTIMIZATION,Consumer health optimization,Consumer outcome category,"Consumer-oriented preventive wellness, longevity, sleep, fitness, recovery, and self-directed health optimization. This includes consumer lab/biomarker, screening, wearable, and app-based products when the core market problem is consumer health optimization rather than clinical treatment advancement.",Function Health; InsideTracker; Neko Health; Oura; Eight Sleep; Whoop; Ultrahuman; Future,"Use when the company is primarily helping consumers understand, monitor, or optimize health, longevity, sleep, fitness, recovery, or preventive wellness. Data inputs may include labs, biomarkers, imaging, wearables, or self-logged behavior.",TRUE
CARE_NAVIGATION_ACCESS,"Care navigation, access & advocacy",System/user access problem,"Care matching, care navigation, patient advocacy, benefits navigation, care concierge, and helping users access/coordinate care as the core market.",Solace; Included Health; Transcarent; Accolade; Rightway,"Use when navigation/access is the actual market, not merely a feature within a specialty program.",TRUE
PAYER_BENEFITS_INFRASTRUCTURE,"Payer, benefits & value-based care infrastructure",System/buyer infrastructure,"Health insurance, employer benefits platforms, payer enablement, value-based care infrastructure, risk/population management, and Medicaid/VBC infrastructure.",Angle Health; Collective Health; Cityblock; Waymark; Strive Health when payer/VBC is primary,"Use when the company primarily sells infrastructure, benefits, or risk/VBC models rather than a condition-specific care product.",TRUE
PROVIDER_INFRASTRUCTURE_AI,Provider infrastructure & clinical AI,Provider workflow/system infrastructure,"Provider-facing AI, clinical intelligence, documentation, scribing, prior authorization, coding, RCM, workflow automation, and provider admin infrastructure.",OpenEvidence; Abridge; Ambience; Nabla; Akasa; Cedar for provider revenue workflow,"Use when the buyer/user is the provider enterprise or clinician workflow, not a patient condition.",TRUE
DIAGNOSTICS_LIFE_SCIENCES,"Diagnostics, pharma & life sciences",Diagnostics/science infrastructure,"Clinical diagnostics, clinical trials, real-world evidence, pharma/life sciences, drug discovery, and medicine/treatment advancement. Excludes consumer preventive wellness and longevity companies whose buyer/user problem is consumer health optimization.",Tempus; Komodo Health; Qure.ai; Viz.ai; Freenome; Grail; PathAI; TrialSpark-style companies,"Use when the company primarily serves clinical medicine advancement, pharma/life sciences, clinical trial operations, RWE, drug development, or clinical diagnostic decision-making. Do not use merely because a consumer product uses labs, biomarkers, or imaging.",TRUE
OTHER_REVIEW,Other / needs review,Temporary review state,Temporary value only when a company cannot be mapped into an approved top-level segment.,None,Should block dashboard export. Do not leave active companies here.,FALSE
